Entity	Entity Type	Entity Subtype	Geometric Rendering	Code	Remarks	
	Drop Point		Point4	210400		
	Entry Point		Point5	210500		
	Air Detonation		Point2	210600		
	Ground Zero		Point6	210700		
	Impact Point		Point2	210800		
	Predicted Impact Point		Point2	210900		
	Launched Torpedo		Point7	211000		
	Missile Detection Point		Point7	211100		
	Acoustic Countermeasure (Decoy)		Point7	211200		
	Electronic Countermeasures (ECM) Decoy		Point2	211300		
	Brief Contact		Point7	211400		
	Datum Lost Contact		Point2	211500		
	BT Buoy Drop		Point9	211600		
	Reported Bottomed Sub		Point2	211700		
	Moving Haven		Point2	211800		
	Screen Center		Point2	211900		
	Lost Contact		Point7	212000		
	Sinker		Point7	212100		
	Trial Track		Point7	212200		
	Acoustic Fix		Point2	212300		
	Electromagnetic Fix		Point2	212400		
	Electromagnetic – Magnetic Anomaly Detection (MAD)		Point2	212500		
	Optical Fix		Point2	212600		
	Formation		Point2	212700		
	Harbor		Point8	212800		
	Harbor Entrance Point		Point8	212900		
		A	Point8	212901		
		Q	Point8	212902		
		X	Point8	212903		
		Y	Point8	212904		
	Dip Position		Point2	213000		
	Search		Point2	213100		
	Search Area		Point2	213200		
	Search Center		Point2	213300		
	Navigational Reference Point		Point2	213400		
	Sonobuoy		Point10	213500		
		Ambient Noise	Point10	213501		
		Air Transportable Communication	Point10	213502		
		Barra	Point10	213503		
		Bathythermograph Transmitting	Point10	213504		
		Command Active Multi-Beam (CAMBS)	Point10	213505		
		Command Active Sonobuoy Directional Command Active Sonobuoy System (CASS)	Point10	213506		
		Directional Frequency Analysis and Recording (DIFAR)	Point10	213507		
		Directional Command Active Sonobuoy System (DICASS)	Point10	213508		
		Expendable Reliable Acoustic Path Sonobuoy (ERAPS)	Point10	213509		
		Expired	Point10	213510		
		Kingpin	Point10	213511		
		Low Frequency Analysis and Recording (LOFAR)	Point10	213512		
		Pattern Center	Point10	213513		
		Range Only	Point10	213514		
		Vertical Line Array Directional Frequency Analysis and Recording (DIFAR)	Point10	213515		
	Reference Point		Point2	213600		
	Special Point		Point2	213700		
	Navigational Reference Point		Point2	213800		
	Data Link Reference Point		Point2	213900		
	{Reserved for future use}			214000		
	Vital Area Center		Point2	214100		
	Corridor Tab Point		Point2	214200		
	Enemy Point		Point2	214300		
	Marshall Point		Point2	214400		
	Position and Intended Movement (PIM)		Point2	214500		
	Pre-Landfall Waypoint		Point2	214600		
	Estimated Position (EP)		Point2	214700		
	Waypoint		Point2	214800		
	General Sea Subsurface Station		Point2	214900		
	Submarine Sea Subsurface Station		Point2	215000		
	Submarine Antisubmarine Warfare Sea Subsurface Station		Point2	215100		
	Unmanned Underwater Vehicle Sea Subsurface Station		Point2	215200		
	Antisubmarine Warfare (ASW) Unmanned Underwater Vehicle Sea Subsurface Station		Point2	215300		
	Mine Warfare Unmanned Underwater Vehicle Sea Subsurface Station		Point2	215400		
	Sea Surface Warfare Unmanned Underwater Vehicle Subsurface Station		Point2	215500		
	General Sea Surface Station		Point2	215600		
	Antisubmarine Warfare (ASW) Sea Surface Station		Point2	215700		
	Mine Warfare Sea Surface Station		Point2	215800		
	Non-Combatant Sea Surface Station		Point2	215900		
	Picket Sea Surface Station		Point2	216000		
	Rendezvous Sea Surface Station		Point2	216100		
	Replenishment at Sea Surface Station		Point2	216200		
	Rescue Sea Surface Station		Point2	216300		
	Surface Warfare Sea Surface Station		Point2	216400		
	Unmanned Underwater Vehicle Sea Surface Station		Point2	216500		
	Antisubmarine Warfare (ASW) Unmanned Underwater Vehicle Sea Surface Station		Point2	216600		
